carat,cut,color,clarity,depth,table,price,x,y,z
0.32,Good,H,,63.1,56.0,,4.34,,
,,,SI1,,,,,4.26,
,,H,SI2,61.8,55.0,403.0,4.35,,2.71
,,H,SI2,63.8,56.0,,4.36,4.38,2.79
0.25,,E,VS2,,60.0,,,4.03,2.54
,Very Good,H,SI2,60.7,60.0,,4.33,4.37,2.64
,Very Good,,SI1,60.9,61.0,404.0,4.02,4.03,2.45
0.23,Ideal,,,61.9,54.0,404.0,3.93,3.95,2.44
0.32,Ideal,,SI1,60.9,55.0,404.0,4.45,4.48,
0.22,Premium,E,VS2,,,404.0,,,2.41
0.22,,D,VS2,,62.0,,3.91,3.88,2.31
0.3,Ideal,,SI2,61.0,59.0,,4.3,4.33,
0.3,Premium,J,,59.3,61.0,,4.43,,2.61
0.3,Very Good,I,SI1,62.6,57.0,405.0,,4.28,2.67
,Very Good,,SI1,,,405.0,,,2.71
0.3,,I,SI1,63.2,,405.0,4.25,4.29,2.7
0.35,Ideal,I,VS1,,,552.0,,4.59,
0.3,,D,SI1,,59.0,,4.23,,2.66
,Ideal,D,SI1,62.5,57.0,552.0,4.29,4.32,
0.3,,D,SI1,,,552.0,,,
,Premium,I,,61.5,,552.0,4.78,,
0.28,Ideal,,VVS2,61.4,56.0,553.0,4.19,4.22,2.58
0.32,Ideal,I,VVS1,62.0,55.3,553.0,,4.42,2.73
0.31,Very Good,G,SI1,,,553.0,,4.3,2.73
0.31,,G,,,58.0,553.0,4.35,,
0.24,Premium,,,60.7,58.0,,4.01,4.03,2.44
0.24,Very Good,D,VVS1,,60.0,553.0,,4.0,2.45
0.3,,H,SI1,63.1,56.0,,,4.27,
0.3,Premium,H,SI1,,59.0,554.0,,,2.68
0.3,Premium,H,SI1,,57.0,,4.29,4.25,2.67
0.3,Good,H,SI1,63.7,57.0,,4.28,4.26,2.72
0.26,Very Good,F,VVS2,59.2,60.0,554.0,4.19,4.22,2.49
0.26,Very Good,E,VVS2,59.9,58.0,554.0,4.15,,2.51
0.26,,D,VVS2,62.4,,554.0,,4.13,
0.26,Very Good,,VVS2,,,554.0,4.01,4.05,2.53
0.26,Very Good,E,VVS1,62.6,,554.0,4.06,4.09,2.55
0.26,Very Good,E,,,59.0,554.0,4.0,4.04,2.55
0.26,Very Good,,VVS1,62.1,60.0,554.0,4.03,4.12,2.53
0.26,,E,VVS2,62.9,58.0,554.0,4.02,,2.54
,Ideal,I,,,56.0,,,,2.87
0.26,Good,,VVS1,57.9,,,4.22,4.25,2.45
0.24,Premium,G,VVS1,62.3,59.0,,3.95,3.92,
0.24,,H,VVS1,61.2,58.0,,,3.96,
0.24,,H,VVS1,,59.0,,4.02,4.0,2.44
0.24,,H,VVS2,,,554.0,,,2.46
0.32,Premium,I,SI1,62.9,58.0,554.0,4.35,4.33,2.73
,,,SI1,62.5,57.0,,,5.72,3.57
0.86,,E,,,,2757.0,6.45,6.33,3.52
,Ideal,G,VS2,61.6,,2757.0,5.7,5.67,
0.71,Very Good,E,VS2,62.4,,2759.0,5.68,5.73,3.56
0.78,Very Good,,SI2,63.8,,2759.0,,,3.72
,Good,E,VS2,57.5,,,5.85,5.9,
,Good,F,,59.4,62.0,2759.0,5.71,5.76,3.4
0.96,,,SI2,66.3,62.0,2759.0,6.27,5.95,
0.73,Very Good,E,SI1,,59.0,,5.77,5.78,3.56
0.8,,,SI1,,58.0,2760.0,5.97,,3.66
,Very Good,D,,63.2,56.0,2760.0,,5.75,3.65
0.75,Premium,E,SI1,59.9,54.0,2760.0,6.0,5.96,3.58
,Ideal,,,61.6,55.0,,,5.85,3.59
0.75,Premium,G,,61.7,58.0,2760.0,5.85,5.79,3.59
0.8,,I,VS1,,,,5.94,5.87,
0.75,Ideal,G,SI1,,55.0,2760.0,5.87,5.8,3.63
,,G,,,59.0,2760.0,,,3.69
,,I,VVS2,62.3,,2761.0,5.77,5.81,3.61
0.81,Ideal,F,,58.8,,2761.0,6.14,6.11,3.6
,Ideal,E,VVS2,62.0,55.0,2761.0,,,3.35
0.8,Ideal,F,SI2,61.4,57.0,2761.0,5.96,6.0,
,Ideal,E,SI2,62.2,56.0,,,5.84,3.62
,Premium,,,,,2761.0,6.16,6.12,3.87
0.74,Very Good,G,SI1,,59.0,2762.0,5.73,,
,Ideal,F,,,56.0,2762.0,5.77,,3.6
,Ideal,,,62.7,53.0,2762.0,,,
0.8,,F,SI2,61.7,58.0,2762.0,5.98,5.94,3.68
,Ideal,G,,62.4,54.0,2762.0,,5.76,
0.7,Ideal,,VS2,,58.0,2762.0,5.73,5.76,3.49
0.8,,,,59.9,59.0,2762.0,6.01,,3.62
0.71,,,,62.3,56.0,2762.0,,5.69,
0.74,Ideal,E,SI1,,,,5.8,5.83,3.62
0.7,Very Good,F,VS2,61.7,63.0,2762.0,5.64,5.61,3.47
0.7,Fair,F,,64.5,57.0,2762.0,5.57,5.53,3.58
0.7,Fair,F,VS2,65.3,55.0,2762.0,,5.58,3.66
0.7,Premium,,VS2,,,,5.65,5.59,3.46
,Premium,H,SI1,61.4,56.0,2763.0,6.09,5.97,3.7
0.61,Very Good,D,,59.6,57.0,,5.56,5.58,3.32
,Fair,,SI2,64.4,57.0,2763.0,6.11,6.09,3.93
0.91,,H,SI2,65.7,60.0,2763.0,6.03,,3.95
0.77,,H,VS2,62.0,56.0,2763.0,5.89,5.86,
0.71,Very Good,D,SI1,,58.0,2764.0,,5.68,3.6
0.71,Ideal,D,SI1,61.9,59.0,,5.69,5.72,3.53
0.7,,E,VS2,,,2765.0,,5.65,3.53
,,,VS1,61.3,60.0,2765.0,5.88,5.9,3.61
0.63,,,VVS1,,60.0,,5.52,5.55,3.37
0.71,Very Good,,VS1,,62.0,2765.0,5.74,5.77,3.46
0.71,Premium,F,VS1,61.8,,2765.0,5.69,5.73,3.53
,Ideal,,,,57.0,2765.0,5.88,5.91,3.61
,,G,VVS1,61.9,,2766.0,,5.56,3.43
0.71,Premium,,VS2,,57.0,2766.0,5.78,5.75,3.51
0.71,Premium,G,VS2,,56.0,2766.0,,5.81,
0.7,,,VS2,61.8,55.0,,5.68,,3.52
0.7,Very Good,F,VS1,60.0,57.0,2767.0,5.8,5.87,3.5
0.71,Ideal,D,SI2,61.6,55.0,2767.0,5.74,5.76,
0.7,,,,62.1,64.0,2767.0,5.62,5.65,3.5
0.71,,G,VS1,63.3,,,5.52,5.61,
0.73,,D,,60.2,56.0,2768.0,5.83,5.87,3.52
0.7,Very Good,D,SI1,61.1,58.0,2768.0,,5.73,3.48
,Ideal,E,,60.9,57.0,,,,3.5
0.71,Premium,D,,61.7,59.0,2768.0,5.71,5.67,3.51
,Ideal,I,,61.3,,,5.82,5.86,3.57
0.71,Premium,D,VS2,62.5,60.0,2770.0,,5.61,3.52
0.73,Premium,G,VS2,61.4,59.0,2770.0,5.83,5.76,3.56
,Very Good,,SI1,62.9,57.0,2770.0,,5.81,3.65
0.76,,,SI2,,57.0,2770.0,5.78,5.83,3.62
,Ideal,F,,60.7,56.0,2770.0,,,3.51
,Premium,G,VS2,60.7,58.0,2770.0,5.87,,3.55
0.73,Premium,G,,,58.0,2770.0,5.79,,3.55
,Ideal,D,SI2,59.9,57.0,2770.0,5.92,5.89,
0.73,,G,,59.2,59.0,,5.92,5.87,3.49
0.72,,H,VVS2,60.3,56.0,2771.0,,,3.51
0.73,Very Good,F,,61.7,60.0,2771.0,5.79,5.82,
0.71,Ideal,,VS2,,57.0,2771.0,5.73,5.77,
0.79,Ideal,F,SI2,61.9,55.0,2771.0,5.97,,3.68
0.73,Very Good,H,VVS1,60.4,59.0,2772.0,5.83,5.89,3.54
0.8,Very Good,,SI2,,,,,6.03,3.67
0.58,,G,,61.5,55.0,,5.39,5.44,3.33
0.58,Ideal,,VVS1,61.7,56.0,2772.0,5.33,5.37,
0.71,,E,VS2,59.2,61.0,2772.0,,,3.46
0.75,,D,SI2,61.3,56.0,2773.0,,,3.6
0.7,Premium,,VS2,58.0,62.0,2773.0,5.87,5.78,
,Very Good,J,,,,2774.0,6.83,6.9,4.13
0.6,,E,,,55.0,,5.41,5.44,3.35
0.7,Ideal,,SI1,62.7,55.0,2774.0,5.68,5.74,3.58
0.83,Good,I,,64.6,54.0,,5.85,5.88,
0.74,Very Good,F,VS2,61.3,61.0,2775.0,,5.84,3.57
,Very Good,G,,63.7,,2776.0,,5.69,3.61
0.71,Premium,E,VS2,62.7,58.0,,5.74,5.68,3.58
0.71,Ideal,E,,62.2,57.0,2776.0,5.79,5.62,3.55
0.54,Ideal,E,VVS2,61.6,56.0,,5.25,5.27,3.24
0.54,,E,VVS2,,57.0,2776.0,5.24,5.26,3.23
0.72,Ideal,G,SI1,,56.0,2776.0,5.72,,3.55
0.72,Ideal,,SI1,60.7,56.0,2776.0,5.79,5.82,3.53
0.72,Good,G,VS2,59.7,60.5,,,5.84,3.47
0.71,Ideal,G,,,56.0,2776.0,5.8,5.76,
,Very Good,D,,62.7,58.0,2777.0,,5.73,3.57
0.71,Premium,F,,62.1,,2777.0,5.67,5.7,3.53
0.71,Very Good,F,VS2,62.8,,2777.0,5.64,5.69,
,Good,F,VS2,63.8,58.0,2777.0,,5.64,3.59
0.71,Good,,VS2,57.8,60.0,2777.0,5.87,5.9,
,,E,VS2,,55.0,2777.0,,,3.53
0.7,Premium,,VS2,61.1,60.0,2777.0,5.71,,3.47
0.7,Premium,E,,60.0,,2777.0,,5.75,
0.7,Premium,E,,61.2,57.0,2777.0,5.73,5.68,
0.7,Premium,E,SI1,,59.0,2777.0,,5.63,3.54
0.7,Premium,,SI1,,,2777.0,,,
0.7,Premium,E,SI1,,58.0,2777.0,,5.72,3.51
0.7,Ideal,,SI1,61.4,57.0,2777.0,5.76,5.7,
0.72,Premium,,SI1,61.8,61.0,2777.0,5.82,5.71,3.56
,Very Good,E,SI1,,63.0,2777.0,5.76,5.7,3.43
0.7,,E,SI1,61.3,58.0,2777.0,5.71,5.68,3.49
0.7,Premium,,SI1,60.5,58.0,2777.0,,5.74,
0.7,,,,64.1,59.0,2777.0,5.64,,3.6
0.98,,,SI2,67.9,60.0,,6.05,,4.08
0.78,Premium,,,,58.0,2777.0,,5.8,3.63
,Very Good,E,SI1,63.2,60.0,2777.0,5.6,5.51,3.51
0.52,Ideal,,VVS1,61.3,,,,,
,,H,VS2,60.8,56.0,,5.82,5.84,
0.74,Ideal,E,SI1,61.7,56.0,2779.0,5.84,5.8,3.59
0.7,Very Good,F,VS2,63.6,57.0,2780.0,,5.65,3.58
,Premium,,VS2,61.2,58.0,2780.0,5.9,5.93,3.62
0.71,Ideal,,VS2,,54.0,2780.0,5.68,,
0.74,Ideal,G,VS1,61.5,,2780.0,,,
0.7,Ideal,G,VS1,61.4,59.0,2780.0,5.64,5.73,3.49
1.01,Premium,F,I1,61.8,60.0,2781.0,6.39,,
0.77,Ideal,H,SI1,62.2,56.0,2781.0,,,
0.78,,H,SI1,,56.0,2781.0,5.92,5.99,3.64
,Very Good,H,,60.6,63.0,,5.83,5.76,3.51
0.53,,D,VVS2,57.5,64.0,2782.0,5.34,5.37,3.08
0.76,Ideal,,VS2,61.3,56.0,,5.9,5.94,3.63
0.7,,E,VS1,57.2,,2782.0,5.81,5.77,3.31
0.7,Premium,E,VS1,62.9,60.0,2782.0,5.62,5.54,3.51
,Very Good,D,,63.1,58.0,2782.0,5.78,5.73,
,Ideal,,SI1,60.8,57.0,2782.0,5.76,5.75,3.5
0.72,Premium,D,SI1,,59.0,,5.73,5.69,3.58
,,,,62.8,60.0,2782.0,5.68,5.66,3.56
0.84,Fair,G,SI1,55.1,,,6.39,6.2,3.47
0.75,Premium,F,SI1,,59.0,2782.0,5.88,5.85,3.6
,,F,IF,62.2,55.0,2783.0,5.14,,3.21
0.72,Very Good,F,VS2,63.0,54.0,2784.0,5.69,5.73,
,Very Good,H,VS1,63.7,,2784.0,5.85,5.92,3.75
0.72,Very Good,F,,,58.0,,,,3.61
0.51,,F,VVS1,62.0,57.0,2787.0,5.11,5.15,
,Ideal,D,VS1,61.5,56.0,,5.54,,3.41
0.7,Very Good,H,VVS1,60.5,60.0,2788.0,5.74,5.77,
,,I,VS1,61.1,60.0,2788.0,6.07,6.1,
,Ideal,I,,61.8,56.0,2788.0,5.85,,
0.71,Good,,,63.3,56.0,,5.64,5.68,
0.77,Good,G,VS1,,64.0,,5.97,5.92,3.53
0.71,,F,SI1,,55.0,2788.0,5.71,5.65,
1.01,,E,I1,64.5,58.0,2788.0,6.29,6.21,4.03
1.01,Premium,H,SI2,62.7,59.0,2788.0,6.31,6.22,
0.77,Good,F,SI1,64.2,52.0,2789.0,,5.77,3.72
0.76,,E,SI1,63.7,54.0,,5.76,5.85,3.7
,,E,,60.4,,2789.0,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,,2789.0,5.82,,3.61
1.05,Very Good,J,SI2,63.2,56.0,2789.0,,6.45,4.09
,,G,SI2,61.6,,,5.97,6.01,3.69
,Ideal,,SI1,61.6,56.0,2789.0,,5.75,3.53
,,G,,60.9,,2789.0,5.28,,3.22
0.81,,,SI2,61.0,61.0,2789.0,5.94,5.99,3.64
,Premium,E,VVS2,62.1,,2789.0,5.48,5.41,3.38
,Premium,E,VVS1,60.9,60.0,2789.0,5.55,,3.37
0.77,Premium,H,VS1,,60.0,2789.0,,5.88,3.61
1.05,Fair,J,SI2,65.8,59.0,2789.0,6.41,6.27,4.18
0.64,Ideal,G,IF,61.3,,2790.0,5.54,,3.41
0.76,Premium,,VVS1,58.8,59.0,2790.0,,5.94,
,Ideal,,SI2,62.3,,2790.0,6.02,6.05,3.76
0.71,Premium,F,VS1,60.1,62.0,,5.77,5.74,3.46
0.71,Premium,,,61.8,,,5.73,5.69,3.53
0.87,Very Good,,SI1,63.6,,2791.0,6.07,,3.87
0.73,Ideal,E,,62.2,56.0,,,5.78,3.58
0.71,Premium,E,SI1,,59.0,2792.0,5.83,5.86,3.46
0.71,,E,SI1,61.8,,2792.0,5.7,5.75,3.54
,,E,,61.3,55.0,2792.0,,5.77,3.52
,Premium,F,VS1,62.1,,,,5.65,
0.7,Premium,,,60.7,60.0,2792.0,5.78,5.75,3.5
0.76,Premium,H,VVS2,59.6,57.0,2792.0,,5.86,3.51
0.7,Ideal,F,,62.2,56.0,2792.0,,5.68,
0.79,Very Good,G,,60.6,57.0,,,,3.65
,,E,VS2,62.9,,2793.0,5.66,5.69,3.57
0.7,Good,,VS2,,,,,,3.61
0.76,Ideal,I,VS2,61.3,56.0,2793.0,5.87,5.91,
0.73,Ideal,,,62.7,55.0,,5.72,5.76,3.6
,Very Good,E,,,56.0,,5.91,5.86,
,Very Good,E,VS2,60.7,56.0,2795.0,,5.82,3.53
,,I,,61.9,,2795.0,5.91,5.86,3.64
0.81,Ideal,F,,62.6,55.0,2795.0,5.92,5.96,3.72
0.72,,F,VS1,,60.0,2795.0,,5.72,3.48
0.72,Premium,D,SI2,62.0,60.0,2795.0,5.73,5.69,3.54
0.72,,I,IF,63.0,57.0,2795.0,,5.7,
0.81,,H,,58.0,59.0,2795.0,,,3.57
0.72,Premium,,,62.9,57.0,2795.0,5.73,5.65,3.58
,Premium,I,SI2,58.2,60.0,2795.0,6.61,6.55,
0.73,,E,,63.2,58.0,2796.0,5.7,,
0.81,Very Good,,SI2,61.3,59.0,2797.0,5.94,,3.66
0.81,Very Good,E,,60.3,60.0,,6.07,,3.67
,Premium,D,SI1,62.7,60.0,2797.0,5.67,5.71,
,,,SI1,61.3,,2797.0,5.73,5.75,3.52
0.71,Premium,D,SI1,,60.0,2797.0,,5.69,3.52
0.57,Ideal,F,,61.9,55.0,2797.0,,5.35,3.31
0.51,Ideal,,VVS1,61.7,,,5.12,5.16,3.17
,,G,,61.9,58.0,2797.0,,5.75,3.55
,Ideal,,,,58.0,2797.0,5.77,5.81,3.58
,Ideal,,VS1,61.6,56.0,2797.0,,5.82,
,Fair,G,VVS1,58.8,66.0,2797.0,5.81,5.9,3.44
0.8,,F,SI2,,57.0,2797.0,,6.01,
1.01,Fair,E,SI2,,,,,6.05,4.13
0.8,Very Good,H,VS2,63.4,,2797.0,,5.82,
,,I,VS1,61.5,,2798.0,5.87,5.91,
,Very Good,,,58.0,62.0,2799.0,,6.25,3.61
0.82,Ideal,F,,62.4,,2799.0,5.97,6.02,
,Ideal,D,SI1,61.9,57.0,2799.0,,5.86,
,Very Good,G,IF,61.6,,2800.0,5.43,5.46,3.35
,,I,SI2,62.2,59.0,,6.07,6.11,3.79
0.7,,,VS1,62.2,58.0,2800.0,5.6,5.66,3.5
0.9,Very Good,I,,61.3,56.0,2800.0,,6.23,3.8
,Ideal,G,SI1,,,2800.0,5.99,6.08,
,,G,,61.8,57.0,2800.0,6.03,6.07,3.74
0.83,Very Good,H,SI1,,59.0,2800.0,5.95,6.02,3.74
,Premium,,,,,2800.0,5.74,5.68,3.59
0.79,Ideal,,VS1,61.8,,2800.0,5.92,,3.67
,,G,IF,62.3,56.0,,5.43,5.45,3.39
0.76,Fair,G,VS1,59.0,70.0,,,5.8,3.46
,Ideal,F,,,55.0,2801.0,6.37,6.41,
0.73,Ideal,F,VS2,62.5,,,5.8,5.76,3.61
0.73,Premium,,VS2,,58.0,2801.0,,,3.59
0.75,,H,SI1,60.4,,2801.0,,5.96,3.59
0.71,Premium,F,VS2,,58.0,,5.7,5.67,3.53
0.71,Good,,VS2,57.8,,2801.0,,5.87,3.4
0.71,Good,F,VS2,63.8,58.0,2801.0,,,3.59
0.71,Premium,F,,,57.0,2801.0,5.69,5.64,3.56
1.04,Premium,G,I1,62.2,58.0,2801.0,6.46,6.41,4.0
1.0,,J,SI2,62.3,58.0,2801.0,6.45,6.34,3.98
0.87,,G,SI2,59.9,58.0,2802.0,6.19,,3.72
0.53,Ideal,F,,61.9,54.0,2802.0,,5.25,3.24
0.72,Premium,,VS2,63.0,,2802.0,5.79,5.61,
,,F,VS1,62.4,,,5.83,,3.6
,Very Good,F,VS2,62.9,58.0,2803.0,,5.65,3.55
0.74,Very Good,E,SI1,63.5,56.0,2803.0,5.74,5.79,
0.71,,G,VS2,,56.0,2803.0,5.75,,3.51
,Ideal,E,SI1,,54.0,2803.0,5.84,,3.55
,,G,VS1,65.1,58.0,2803.0,,5.59,3.63
,Premium,F,VS2,62.6,58.0,2803.0,5.7,5.67,3.56
,Premium,F,VS2,58.0,62.0,,5.85,5.81,3.38
,,,VS1,62.4,61.0,2803.0,,,3.54
0.77,Premium,G,,61.3,,2803.0,5.93,,3.62
0.71,Premium,G,VS2,,60.0,2803.0,5.81,5.77,3.47
0.78,Premium,,,60.8,,2803.0,6.03,5.95,3.64
0.71,,G,VS1,63.5,55.0,,5.66,5.64,3.59
0.91,Ideal,D,SI2,62.2,57.0,2803.0,6.21,6.15,3.85
0.71,,,VS2,63.8,58.0,2804.0,5.62,5.66,
0.71,Very Good,E,VS2,,57.0,2804.0,5.66,5.68,
0.8,,,SI2,,,,5.88,,3.7
,Very Good,D,SI1,,58.0,2804.0,,5.73,
0.72,,F,,,,2804.0,,5.77,3.55
0.72,Very Good,F,,62.2,58.0,2804.0,,5.7,3.56
0.82,Ideal,H,,,56.0,2804.0,,6.08,3.72
0.7,,,SI1,61.0,59.0,2804.0,5.68,5.7,3.47
0.72,,D,SI1,62.2,,2804.0,,,3.58
0.72,Ideal,,SI1,61.5,,2804.0,5.77,,3.56
,Fair,,SI1,67.3,59.0,,5.93,5.84,3.96
0.74,Premium,F,VS2,61.7,,2805.0,,,
0.74,Premium,F,,61.9,,,5.8,5.77,3.58
0.73,Ideal,,,61.8,58.0,2805.0,,5.81,3.58
0.57,Fair,E,VVS1,58.7,66.0,2805.0,5.34,5.43,3.16
0.73,,F,VS2,,57.0,2805.0,,5.7,
0.72,Ideal,G,VS2,62.8,,2805.0,5.74,5.7,3.59
0.74,,F,VS2,61.1,68.0,2805.0,5.82,5.75,
,Good,G,VS2,64.0,57.0,2805.0,5.92,,3.78
0.81,Very Good,,SI1,62.5,60.0,2806.0,5.89,,3.69
0.75,Very Good,,VVS1,60.6,,2806.0,5.85,5.9,3.56
0.7,Ideal,F,SI1,,55.0,2806.0,,5.74,3.53
,Very Good,F,VS1,62.2,58.0,2807.0,5.66,,3.54
0.71,Very Good,F,,,57.0,2807.0,5.84,5.9,3.52
0.93,Premium,J,SI2,61.9,57.0,2807.0,6.21,6.19,3.84
0.8,Very Good,H,VS2,62.8,57.0,2808.0,5.87,,3.7
0.7,,,VS1,62.0,57.0,2808.0,5.64,5.71,3.52
,Fair,G,I1,66.4,59.0,2808.0,,6.09,4.07
0.75,Very Good,G,VS2,,56.0,2808.0,,5.74,3.65
,Ideal,E,VVS2,,56.0,2808.0,5.41,5.43,3.3
0.73,Very Good,D,SI1,,57.0,2808.0,5.74,,3.61
0.81,Very Good,F,SI1,63.1,59.0,2809.0,5.85,,3.67
0.81,Premium,,SI2,59.2,,2809.0,6.15,6.05,3.61
0.71,,F,SI1,,54.0,,5.84,,
1.2,Fair,F,,64.6,56.0,,,6.66,4.33
0.7,Very Good,,VS1,61.8,56.0,,5.63,5.7,3.5
0.7,Very Good,F,VS1,59.9,60.0,,5.77,5.84,3.48
,Ideal,D,SI2,,55.0,2810.0,5.81,5.85,3.6
0.7,Good,,VS1,,61.0,,5.57,5.61,3.51
0.8,Good,G,SI1,62.7,57.0,2810.0,5.84,5.93,3.69
,Very Good,F,,63.4,58.0,2811.0,,,
0.83,Very Good,D,SI1,63.5,,2811.0,5.98,5.95,3.79
1.0,,J,VS2,65.7,59.0,2811.0,6.14,6.07,4.01
0.99,Fair,,SI2,,,2811.0,6.21,6.06,4.18
,,G,VS1,,,2812.0,,5.64,3.53
0.7,Very Good,,VS2,,58.0,,5.75,5.85,3.45
,Good,E,SI1,,59.0,2812.0,5.49,5.53,3.5
0.7,Very Good,F,VS2,61.7,58.0,2812.0,5.63,,3.49
0.32,Premium,I,SI1,,58.0,554.0,4.37,,2.73
0.32,Premium,,SI1,62.8,58.0,554.0,4.39,4.34,2.74
0.32,Ideal,I,SI1,62.4,57.0,554.0,,,2.72
0.32,Premium,I,SI1,,59.0,,4.39,4.36,
0.32,,I,,63.1,,554.0,4.39,4.36,2.76
0.32,Ideal,I,SI1,,,554.0,4.47,4.42,2.7
0.3,,,SI1,,,554.0,,4.29,2.62
0.3,,H,SI1,60.1,55.0,,4.41,4.38,2.64
0.3,Premium,H,SI1,62.9,,554.0,4.28,4.24,
0.3,,,,63.3,56.0,,4.29,4.27,2.71
0.3,Good,H,SI1,63.8,55.0,554.0,4.26,,
0.3,,H,SI1,62.9,,554.0,,4.22,2.67
0.3,Very Good,,SI1,63.4,60.0,554.0,4.25,4.23,2.69
0.32,Good,,SI1,63.9,55.0,554.0,4.36,,2.78
0.33,Ideal,,SI2,61.4,,554.0,4.85,4.79,2.95
0.29,,E,VS1,61.9,55.0,555.0,4.28,,2.66
0.29,,,VS1,62.4,55.0,,4.2,4.25,2.63
0.31,,F,,61.8,,555.0,4.32,4.35,2.68
0.34,,H,VS2,61.5,56.0,555.0,4.47,4.5,
0.34,,,,60.4,,555.0,4.54,4.57,2.75
0.34,Ideal,I,,61.8,55.0,555.0,4.48,,2.78
0.34,Ideal,I,,,56.0,,,4.53,2.8
0.3,Ideal,,VS1,62.3,,555.0,4.29,,2.68
,Ideal,F,VS1,61.6,56.0,,4.26,4.31,2.64
,Ideal,,SI1,60.6,,,4.56,4.58,2.77
0.43,Very Good,E,,,,555.0,4.94,5.0,2.9
0.32,Very Good,F,VS2,61.4,58.0,556.0,4.37,,2.7
0.36,Ideal,I,VS2,61.9,56.0,556.0,4.54,,2.82
0.3,Ideal,G,VS2,62.0,56.0,,4.28,4.3,2.66
0.26,,E,VS1,61.5,,,4.09,,
0.7,Very Good,,VS2,62.3,58.0,2812.0,,5.72,3.54
0.7,Very Good,F,VS2,60.9,,2812.0,5.66,,
0.71,,D,,62.4,57.0,,,5.72,
0.99,Fair,J,SI1,,61.0,2812.0,,,3.68
0.73,Premium,,,58.6,60.0,2812.0,,5.89,3.46
0.51,Ideal,F,,62.0,,2812.0,5.15,5.11,3.18
0.91,Premium,G,SI2,,58.0,,6.3,,3.77
,Very Good,E,SI1,63.4,55.0,2813.0,6.0,5.95,3.79
0.91,Good,I,VS2,64.3,58.0,2813.0,,,3.9
,Premium,E,SI1,62.2,59.0,,5.86,5.81,3.63
0.76,Ideal,E,SI1,61.7,57.0,2814.0,5.88,5.85,
0.75,Premium,E,SI1,61.1,59.0,,5.86,5.83,3.57
0.55,,D,VVS1,61.5,,,,5.27,3.23
,Very Good,F,SI2,58.5,62.0,2815.0,5.93,6.01,
,,G,VS1,61.7,58.0,2815.0,5.79,5.81,3.58
,,H,SI1,,56.0,2815.0,5.75,5.81,
0.7,Ideal,,SI1,61.4,,2815.0,,5.76,
0.7,Ideal,H,SI1,61.5,55.0,2815.0,5.73,5.79,3.54
,Ideal,H,,61.4,56.0,2815.0,5.72,5.77,3.53
0.9,Fair,J,VS2,65.0,56.0,2815.0,6.08,6.04,3.94
